"Week","Year","precip.nomiss","ETo_mm.combined","Date","ID","PP_ET","spei"
50,1988,9.5,0.714808773517761,1988-12-09,10094,8.78519122648224,0.689004316324152
51,1988,11.2,1.46666806633971,1988-12-16,10143,9.7333319336603,0.577009637234412
52,1988,12.5,3.77412510518365,1988-12-23,10192,8.72587489481635,0.614161300702675
53,1988,3,0.374181470321109,1988-12-30,2921,2.62581852967889,0
1,1989,2.4,1.61473093832189,1989-01-01,10255,0.785269061678112,0
2,1989,20.5,0.0198787819988721,1989-01-08,10304,20.4801212180011,1.25029018360351
3,1989,17.6,0.62096188743213,1989-01-15,10353,16.9790381125679,0.961328711752579
4,1989,3.3,1.76589876449905,1989-01-22,10402,1.53410123550095,-0.00593553835309122
5,1989,0.1,9.8510906242484,1989-01-29,10451,-9.7510906242484,-0.885823002271646
6,1989,3.1,6.1922311602174,1989-02-05,10500,-3.0922311602174,-0.178568795808068
7,1989,15.9,2.63778201714443,1989-02-12,10549,13.2622179828556,0.890167047262956
8,1989,14.8,3.62238863827797,1989-02-19,10598,11.177611361722,0.779543489828953
9,1989,26.1,0.266666733255937,1989-02-26,10647,25.8333332667441,1.55597212326391
10,1989,13.8,0.404983778059429,1989-03-05,10696,13.3950162219406,0.825540380538377
11,1989,14.8,1.03918052639053,1989-03-12,10745,13.7608194736095,0.923385791251255
12,1989,9.1,3.02773883568362,1989-03-19,10794,6.07226116431638,0.369544630953378
13,1989,10.1,11.6175370242556,1989-03-26,10843,-1.51753702425558,-0.124860540767687
14,1989,2.9,5.20976785642699,1989-04-02,10892,-2.30976785642699,-0.36945772287561
15,1989,5.5,3.28350710182883,1989-04-09,10941,2.21649289817117,0.0228201389304152
16,1989,6,8.42066406299741,1989-04-16,10990,-2.42066406299741,-0.314516581159705
17,1989,27.9,7.88370332189422,1989-04-23,11039,20.0162966781058,1.38492680504037
18,1989,2.2,21.5322631506355,1989-04-30,11088,-19.3322631506355,-1.49474191690118
19,1989,21.7,11.8969939294944,1989-05-07,11137,9.80300607050564,0.688745534586723
20,1989,3.9,17.8168501632887,1989-05-14,11186,-13.9168501632887,-1.18914652569571
21,1989,0.1,22.8272231626193,1989-05-21,11235,-22.7272231626193,-1.76089459406472
22,1989,28.5,15.9063793505792,1989-05-28,11284,12.5936206494208,0.772643023853724
23,1989,25.2,17.3455985516174,1989-06-04,11333,7.85440144838259,0.557264316653159
24,1989,5.3,17.121542809613,1989-06-11,11382,-11.821542809613,-0.949057636644484
25,1989,11.9,20.7932892859926,1989-06-18,11431,-8.89328928599256,-0.696133725950497
26,1989,3.8,21.2672906630988,1989-06-25,11480,-17.4672906630988,-1.54257031936854
27,1989,1.1,20.6143688939705,1989-07-02,11529,-19.5143688939705,-1.79955716667085
28,1989,3.8,19.9677738781845,1989-07-09,11578,-16.1677738781845,-1.40217870498572
29,1989,1.4,24.0999224499802,1989-07-16,11627,-22.6999224499802,-1.83996479398057
30,1989,14.1,24.3040755549446,1989-07-23,11676,-10.2040755549446,-0.762460147502401
31,1989,27.4,23.6930762097304,1989-07-30,11725,3.70692379026958,0.286908874823029
32,1989,17.7,18.5496460120618,1989-08-06,11774,-0.849646012061797,-0.140469756091273
33,1989,3.8,22.2730264582296,1989-08-13,11823,-18.4730264582296,-1.41499485562441
34,1989,32.1,17.5271134260683,1989-08-20,11872,14.5728865739317,0.90173662206404
35,1989,4.3,18.1426060641625,1989-08-27,11921,-13.8426060641625,-1.05747549097829
36,1989,3.2,16.1231493625186,1989-09-03,11970,-12.9231493625186,-1.02943406621511
37,1989,12.9,12.9460591423599,1989-09-10,12019,-0.0460591423598586,-0.0167257523970686
38,1989,18.9,11.5641962338464,1989-09-17,12068,7.33580376615363,0.387503321682906
39,1989,2.6,5.75715655192548,1989-09-24,12117,-3.15715655192548,-0.398704324587948
40,1989,1,10.5659582422884,1989-10-01,12166,-9.56595824228838,-0.885343988990444
41,1989,0.4,4.29036056444517,1989-10-08,12215,-3.89036056444517,-0.402980668326712
42,1989,25,3.83990521838632,1989-10-15,12264,21.1600947816137,1.42160287547549
43,1989,3.5,6.05315419606291,1989-10-22,12313,-2.55315419606291,-0.186622426865132
44,1989,10.5,0.366543245498929,1989-10-29,12362,10.1334567545011,0.706449451189224
45,1989,28.8,1.05806674821389,1989-11-05,12411,27.7419332517861,1.63247064240453
46,1989,3.5,2.65864325806539,1989-11-12,12460,0.841356741934611,-0.0883714483816789
47,1989,5.3,1.20747078405018,1989-11-19,12509,4.09252921594982,0.300757951167584
48,1989,9.5,4.89950809929103,1989-11-26,12558,4.60049190070897,0.266814598235514
49,1989,6.9,6.79069461432908,1989-12-03,12607,0.109305385670917,-0.00545289627342922
50,1989,5.7,2.31448087288743,1989-12-10,12656,3.38551912711257,0.0854425875938422
51,1989,9.1,1.69980744517931,1989-12-17,12705,7.40019255482069,0.3913090949246
52,1989,4.5,0.686559559554486,1989-12-24,12754,3.81344044044551,0.165973994715183
53,1989,0,0.171762877226692,1989-12-31,1826,-0.171762877226692,0
1,1990,4.1,1.82961803432161,1990-01-01,12810,2.27038196567839,0
2,1990,18.2,0.234434783461748,1990-01-08,12859,17.9655652165383,1.13572215276833
3,1990,21.8,2.72018381585828,1990-01-15,12908,19.0798161841417,1.28263613740256
4,1990,10.7,3.5288474059561,1990-01-22,12957,7.17115259404389,0.586263262294791
5,1990,20.4,0.686164753434481,1990-01-29,13006,19.7138352465655,1.21281381811604
6,1990,9.5,0.453489608059171,1990-02-05,13055,9.04651039194083,0.634847036478257
7,1990,13.1,0.141905345626355,1990-02-12,13104,12.9580946543736,0.818350719341565
8,1990,10,6.91613083142966,1990-02-19,13153,3.08386916857034,0.204606612176041
9,1990,9.1,4.94953185911591,1990-02-26,13202,4.15046814088409,0.145099757644377
10,1990,6,8.87569606496952,1990-03-05,13251,-2.87569606496952,-0.375806989001783
11,1990,3.2,3.26995029764261,1990-03-12,13300,-0.0699502976426079,-0.129778485098689
12,1990,16.5,5.36889706328498,1990-03-19,13349,11.131102936715,0.801652188008216
13,1990,0.7,11.2994633380972,1990-03-26,13398,-10.5994633380972,-0.794966863749805
14,1990,7.5,12.5250484849286,1990-04-02,13447,-5.02504848492856,-0.387786956908784
15,1990,0,8.1492987878794,1990-04-09,13496,-8.1492987878794,-0.736398358657661
16,1990,9.1,6.26062788212856,1990-04-16,13545,2.83937211787144,0.291118898555479
